Species name,Compounds,Amount,Time of data collection,Plant part,Identification method,Profile,Profile base,DOI number,Time_of_publication,Location,Country,Essential oil extraction method,Development stage,Season/month,Experimental condition,Species variety,Plant Sample,Journals name
Scrophularia catariifolia ,Hexanal,0.2,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P. 44563.487,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Acetic acid butyl ester,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Furfural,0.25,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,2-Hexenal,3.05,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,4-Hexen-1-ol,8.03+0.24,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,1-Hexanol,5.48,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Styrene,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Benzaldehyde,2.09,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,1-Heptenol,0.83,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,3-Octenol,16.94,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,3-Octanol,0.22,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Octanal,0.12,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,"2,4-heptadienal",0.18,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Benzyl alcohol,1.78,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Phenyl acetaldehyde,7.48,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Acetophenone,1.57,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Linalool,2.55,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Nonanal,0.63,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Benzene ethanol,17.21,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,p-Vinyl anisole,3.71,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,?-Phenethyl formate,0.63,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,?-Terpineol,0.7,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,"2,3-dihydro benzofuran",2.29,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Geraniol,0.89,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,p-Vinyl guaiacol,1.39,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Eugenol,1.27,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,"3,4-dimethoxystyrene",0.65,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Methyl cinnamate,0.72,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,"2,6,10-trimethyl-dodecane",tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,?-Ionene,0.59,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,?-Muurolol,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,?-Cadinol,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Hexahydrofarnesyl acetone,0.39,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Nonadecane,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Palmitic acid,0.58,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Eicosane,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Heneicosane,0.2,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,1-Hexadecanol acetate,tr,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Phytol,15.18,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Scrophularia catariifolia ,Docosane,0.21,NA,Basal leaves,Gas Chromatography-Mass Spectrometry ,P.44563,DOI,10.1080/0972060X.2024.2444563,03_December_2024,"Tuna‡ay?r? Dam, Erzincan",Turkey,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Pinene,0.24,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830.488,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Camphene,nd,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,"3,7,7-Trimethyl-1,3,5-cycloheptatriene",0.01,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Phellandrene,nd,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,3-Carene,nd,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Cymene,0.01,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,D-Limonene,0.05,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,O-Cymenene,0.01,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Linalool,0.35,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Nonanal,0.1,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Camphenol,0.03,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,trans-Pinocarveol,nd,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Phellandren-8-ol,0.03,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Terpineol,0.05,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Myrtenal,0.04,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Verbenone,0.05,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Citral,nd,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Bornyl acetate,0.05,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Elemene,0.14,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Copaene,0.06,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Bourbonene,0.2,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Elemene,0.93,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Caryophyllene,1.31,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Copaene,nd,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Bergamotene,8.36,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Humulene,0.42,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Alloaromadendrene,0.15,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Muurolene,0.09,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Germacrene D,0.09,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Eudesmene,4.32,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,"Guaia-1(10),11-diene",1.08,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Muurolene,0.4,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Farnesene,5.04,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Isocaryophyllene,4.94,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Cadinene,0.4,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Elemol,0.4,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Cadinene,2.14,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Calacorene,0.18,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Germacrene D-4-ol,0.37,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Caryophyllene oxide,3.09,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Humulene epoxide II,3.63,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Epicubenol (sesqui),0.5,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Cadinol (sesqui),0.37,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Muurolol,0.04,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,?-Eudesmol,48.93,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,"?-Phellandrene, dimer",0.03,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Cembrene A,0.01,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
Ziziphus hajarensis,Androstenediol,0.01,11_September_2022,Leaves,Gas Chromatography-Mass Spectrometry ,P.43830,Plant part,10.1080/0972060X.2024.2443830,14_December_2024,Al-Jabal Al-Akhdar,Oman ,Hydrodistillation ,NA,NA,NA,NA,NA,Journal of Essential Oil Bearing Plants
